,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,LABEL
19,-3.348091,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,3
20,-3.1151967,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,3
21,-2.6494086,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,3
22,-1.9507262,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,3
23,-1.9507262,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,-0.32046142,3
24,-1.9507262,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,-0.32046142,-0.08756727,3
25,-1.717832,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,-0.32046142,-0.08756727,-0.08756727,3
26,-1.717832,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,-0.32046142,-0.08756727,-0.08756727,-0.32046142,3
27,-1.717832,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,-0.32046142,-0.08756727,-0.08756727,-0.32046142,-0.5533556,3
28,-1.4849378,-1.2520436,-0.7862553,-1.4849378,-1.9507262,-1.4849378,-0.7862553,-1.9507262,-2.1836202,-2.4165144,-2.4165144,-1.717832,-0.7862553,-0.5533556,-0.32046142,-0.08756727,-0.08756727,-0.32046142,-0.5533556,-0.32046142,3
